2,1,"2020-02-1"
2,1,"2020-02-1"
3,1,"2020-02-1"
2,2,"2020-02-1"
2,2,"2020-02-1"
2,2,"2020-02-1"
2,3,"2020-02-1"
1,3,"2020-02-1"
2,3,"2020-02-1"
1,4,"2020-02-1"
2,4,"2020-02-1"
1,4,"2020-02-1"
2,1,"2020-02-2"
3,1,"2020-02-2"
3,1,"2020-02-2"
2,2,"2020-02-2"
2,2,"2020-02-2"
2,2,"2020-02-2"
2,3,"2020-02-2"
3,3,"2020-02-2"
1,3,"2020-02-2"
1,4,"2020-02-2"
3,4,"2020-02-2"
3,4,"2020-02-2"
2,1,"2020-02-3"
3,1,"2020-02-3"
1,1,"2020-02-3"
3,2,"2020-02-3"
2,2,"2020-02-3"
3,2,"2020-02-3"
2,3,"2020-02-3"
3,3,"2020-02-3"
3,3,"2020-02-3"
1,4,"2020-02-3"
2,4,"2020-02-3"
1,4,"2020-02-3"
3,1,"2020-02-4"
1,1,"2020-02-4"
1,1,"2020-02-4"
3,2,"2020-02-4"
3,2,"2020-02-4"
2,2,"2020-02-4"
2,3,"2020-02-4"
2,3,"2020-02-4"
2,3,"2020-02-4"
1,4,"2020-02-4"
3,4,"2020-02-4"
2,4,"2020-02-4"
2,1,"2020-02-5"
1,1,"2020-02-5"
3,1,"2020-02-5"
3,2,"2020-02-5"
3,2,"2020-02-5"
3,2,"2020-02-5"
3,3,"2020-02-5"
1,3,"2020-02-5"
2,3,"2020-02-5"
3,4,"2020-02-5"
3,4,"2020-02-5"
2,4,"2020-02-5"
1,1,"2020-02-6"
2,1,"2020-02-6"
2,1,"2020-02-6"
1,2,"2020-02-6"
1,2,"2020-02-6"
1,2,"2020-02-6"
3,3,"2020-02-6"
1,3,"2020-02-6"
1,3,"2020-02-6"
2,4,"2020-02-6"
3,4,"2020-02-6"
2,4,"2020-02-6"
2,1,"2020-02-7"
2,1,"2020-02-7"
1,1,"2020-02-7"
3,2,"2020-02-7"
2,2,"2020-02-7"
3,2,"2020-02-7"
2,3,"2020-02-7"
2,3,"2020-02-7"
1,3,"2020-02-7"
1,4,"2020-02-7"
1,4,"2020-02-7"
3,4,"2020-02-7"
2,1,"2020-02-8"
3,1,"2020-02-8"
1,1,"2020-02-8"
2,2,"2020-02-8"
3,2,"2020-02-8"
3,2,"2020-02-8"
3,3,"2020-02-8"
2,3,"2020-02-8"
3,3,"2020-02-8"
1,4,"2020-02-8"
3,4,"2020-02-8"
1,4,"2020-02-8"
1,1,"2020-02-9"
1,1,"2020-02-9"
1,1,"2020-02-9"
2,2,"2020-02-9"
3,2,"2020-02-9"
3,2,"2020-02-9"
2,3,"2020-02-9"
2,3,"2020-02-9"
1,3,"2020-02-9"
1,4,"2020-02-9"
3,4,"2020-02-9"
3,4,"2020-02-9"
